#name	infoboxid	title	issn	abbreviation	language	country	former_name	bluebook	discipline	peer-reviewed	publisher	history	openaccess	license	impact	impact-year	CODEN	JSTOR	LCCN	OCLC	ISSNlabel	eISSN	category
Open Medicine (De Gruyter journal)	1	Open Medicine	NULL	Open Med.	NULL	NULL	NULL	NULL	Medicine	NULL	Walter de Gruyter	2006-present	Yes	Creative Commons-BY-NC-ND	0.294	2016	NULL	NULL	NULL	NULL	NULL	2391-5463	NULL
Journal of Quantitative Criminology	1	Journal of Quantitative Criminology	NULL	J. Quant. Criminol.	NULL			NULL	Criminology	NULL	Springer Science+Business Media	1985-present			2.226	2015	JQCRE6	07484518	sf95094419	299333806	NULL	1573-7799	NULL
Annali di Matematica Pura ed Applicata	1	Annali di Matematica Pura ed Applicata	NULL	Ann. Mat. Pura Appl.	NULL	Italy	NULL	NULL	Mathematics	NULL	Springer Science+Business Media	1850-present	Hybrid		0.680	2012	ANLMAE		sf97001020	47976464	NULL	1618-1891	NULL
Health Care for Women International	1	Health Care for Women International	NULL	Health Care Women Int.	NULL	United States	NULL	NULL	Women's studies	NULL	Taylor & Francis	1978–present	NULL	NULL	0.950	2015	HCWIDQ	NULL	96648170	806353656	NULL	1096-4665	NULL
Norwegian Journal of Geography	1	Norwegian Journal of Geography	NULL	Nor. J. Geogr.	English, Norwegian	Norway	NULL	NULL	Geography	NULL	Routledge on behalf of the Norwegian Geographical Society	1926–present	NULL	NULL	0.698	2013	NGGTA2	NULL	30007262	709965404	NULL	1502-5292	NULL
Journal of Experimental and Theoretical Artificial Intelligence	1	Journal of Experimental and Theoretical Artificial Intelligence	NULL	J. Exp. Theor. Artif. Intell.	NULL		NULL	NULL	Artificial intelligence	NULL	Taylor & Francis	1989-present	NULL	NULL	1.703	2015	JEAIL	NULL	91642203	796200100	NULL	1362-3079	NULL
IEEE Transactions on Neural Networks and Learning Systems	1	IEEE Transactions on Neural Networks and Learning Systems	NULL		NULL		NULL	NULL	Neural networks	NULL	IEEE Computational Intelligence Society		No		4.370	2013					NULL		NULL
Immunology (journal)	1	Immunology	NULL	Immunology	NULL		NULL	NULL	Immunology	NULL	Wiley-Blackwell on behalf of the British Society for Immunology	1958-present			4.078	2015	IMMUAM		59037544	265405229	NULL	1365-2567	NULL
Pain Medicine (journal)	1	Pain Medicine	NULL	Pain Med.	NULL			NULL	Pain management	NULL	Wiley-Blackwell	2000-present			2.243	2013	PMAEAP		99008981	884090837	NULL	1526-4637	NULL
Journal of Comparative Effectiveness Research	1	Journal of Comparative Effectiveness Research	NULL	J. Comp. Eff. Res.	NULL	NULL	NULL	NULL	Comparative effectiveness research	NULL	Future Medicine Ltd	2012–present	NULL	NULL	1.204	2016	NULL	NULL	NULL	824964200	NULL	2042-6313	NULL
Advances in Radio Science	1	Advances in Radio Science	NULL	Adv. Radio Sci.	English, German		NULL	NULL	Radio science	NULL	Copernicus Publications on behalf of the German National Committee of the International Union of Radio Science	2003-present	Yes	Creative Commons Attribution 3.0 License	NULL	NULL	NULL	NULL	NULL	67014552	NULL	1991-9603	NULL
Microbiological Research	1	Microbiological Research	NULL	Microbiol. Res.	NULL	Netherlands	NULL	NULL	Microbiology	NULL	Elsevier	1896–present	Delayed open access		2.561	2014					NULL		NULL
Journal of Nuclear Materials	1	Journal of Nuclear Materials	NULL	J. Nucl. Mater.	NULL			NULL	Nuclear engineering, materials science	NULL	Elsevier	1959–present	Hybrid		2.016	2013	JNUMAM		62030391	39178747			NULL
Newspaper Research Journal	1	Newspaper Research Journal	NULL	Newsp. Res. J.	NULL		NULL	NULL	Journalism	NULL	Sage Publications	1979-present					NULL	NULL	86647217	42821649	NULL	2376-4791	NULL
European Journal of Gastroenterology & Hepatology	1	European Journal of Gastroenterology & Hepatology	NULL	Eur. J. Gastroenterol. Hepatol.	NULL		NULL	NULL	Gastroenterology, hepatology	NULL	Lippincott Williams & Wilkins	1989-present			2.152	2013				883278704	NULL	1473-5687	NULL
Journal of Addiction Medicine	1	Journal of Addiction Medicine	NULL	J. Addict. Med.	NULL			NULL	Addiction medicine	NULL	Lippincott Williams & Wilkins on behalf of the American Society of Addiction Medicine	2007-present			1.705	2013	JAMOCZ		2006214656	69420533	NULL	1935-3227	NULL
Human Vaccines & Immunotherapeutics	1	Human Vaccines & Immunotherapeutics	NULL	Hum. Vaccin. Immunother.			Human Vaccines	NULL	Vaccinology		Taylor & Francis	2005-present			3.643	2013			2011202528			2164-554X	NULL
Optica (journal)	1	Optica	NULL	Optica	NULL		NULL	NULL	Theoretical and applied optical science and photonics	NULL	The Optical Society	2014–present	Yes							1843247545	NULL	2334-2536	NULL
Revista Chilena de Historia del Derecho	1	Revista Chilena de Historia del Derecho	NULL	Rev. Chil. Hist. Derecho	Spanish	Chile	NULL	NULL	Legal history	NULL	University of Chile	1959–present	Yes	NULL	NULL	NULL	NULL	NULL	60040162	1587179	NULL		NULL
Systematic Reviews (journal)	1	Systematic Reviews	NULL	Syst. Rev.	NULL		NULL	NULL	Medicine	NULL	BioMed Central	2012-present	Yes	Creative Commons Attribution License 4.0				NULL	2012243325	781439840	NULL	NULL	NULL
Journal of Business Research	1	Journal of Business Research	NULL	J. Bus. Res	NULL		NULL	NULL	Business	NULL	Elsevier	1973-present			1.306	2013	JBRED4		77643139	173702027	NULL		NULL
Nutrition Reviews	1	Nutrition Reviews	NULL	Nutr. Rev.	English			NULL	Nutrition science		Oxford University Press	1942-present			5.541	2013	NUREA8					1753-4887	NULL
Actas Españolas de Psiquiatría	1	Actas Españolas de Psiquiatría	NULL	Actas Esp. Psiquiatr.	English, Spanish	Spain	Actas Españolas de Psiquiatría y Neurología, Actas Luso-Españolas de Psiquiatría y Neurología, Actas Luso-Españolas de Psiquiatría y Neurología y ciencias afines	NULL	Psychiatry	NULL	Fundación Juan José López-Ibor	1940-present	Yes		1.2	2014				60623430	NULL	1578-2735	NULL
International Society of Ultrasound in Obstetrics and Gynecology	1	Ultrasound in Obstetrics & Gynecology	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	John Wiley & Sons on behalf of ISUOG	NULL	NULL	NULL	4.254	2015	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Journal of Experimental Psychology: Animal Learning and Cognition	1	Journal of Experimental Psychology: Animal Learning and Cognition	NULL	J. Exp. Psychol.-Animal Learn. Cogn.	NULL	United States	NULL	NULL	Experimental Psychology	NULL	American Psychological Association	1975-present			1.949	2014			2013203309	851372163	NULL	2329-8464	NULL
The CLR James Journal	1	The CLR James Journal	NULL	CLR James J.	NULL		NULL	NULL	Philosophy	NULL	Philosophy Documentation Center	1990–present							sn9219752	27125770	NULL	2325-856X	NULL
Science Advances	1	Science Advances	NULL	Sci. Adv.	NULL			NULL	Multidisciplinary	NULL	American Association for the Advancement of Science	2015-present	Yes	CC-BY/CC BY-NC					2014203143	892343396	NULL	2375-2548	NULL
Radiation Measurements (journal)	1	Radiation Measurements	NULL	Radiat. Meas.	NULL		Nuclear Tracks and Radiation Measurements	NULL	Radiation physics	NULL	Elsevier	1994–present	Hybrid		1.442	2016	RMEAEP			31277902	NULL		NULL
The British Journal of Criminology	1	The British Journal of Criminology	NULL	Br. J. Criminol.	NULL	United Kingdom	NULL	NULL	Criminology	NULL	Oxford University Press on behalf of the Centre for Crime and Justice Studies	1960-present	NULL	NULL	1.442	2014	BJCDAR	00070955	62052872	605898468	NULL	1464-3529	NULL
Humanity & Society	1	Humanity & Society	NULL	Humanity Soc.	NULL	United States	NULL	NULL	Sociology	NULL	Sage Publications on behalf of the Association for Humanist Sociology	1977-present							78640820	779578500	NULL	2372-9708	NULL
Statistics and Its Interface	1	Statistics and Its Interface	NULL	Stat. Interface	NULL			NULL	Statistics	NULL	International Press	2008–present	No		2.933	2014			2007214432	145562621		1938-7997	NULL
Radiation Protection Dosimetry	1	NULL	NULL	Radiat. Prot. Dosim.	NULL		NULL	NULL	Radiobiology	NULL	Oxford University Press	1981–present	NULL	NULL	0.861	2013	RPDODE	NULL	82643551	56561107	NULL	1742-3406	NULL
Hastings West-Northwest Journal of Environmental Law and Policy	1	Hastings West-Northwest Journal of Environmental Law and Policy	NULL	Hastings West-Northwest J. Environ. Law Policy	NULL	NULL	NULL	Hastings W.-N.W. J. Envtl. L. & Pol'y	Environmental law	NULL	University of California, Hastings College of the Law	1994-present	NULL	NULL		NULL	NULL		96657139	818986639	NULL		NULL
Journal of Electrocardiology	1	Journal of Electrocardiology	NULL	J. Electrocardiol.	NULL		NULL	NULL	Cardiology	NULL	Churchill Livingstone	1968-present			1.363	2013	JECAB4		75003900	01754562	NULL	1532-8430	NULL
Forum Geometricorum	1	Forum Geometricorum	NULL	Forum Geom.				NULL	Euclidean geometry		Florida Atlantic University	2001–present	Yes							46354245			NULL
Biology (journal)	1	Biology	NULL	Biology	NULL		NULL	NULL	Biology	NULL	MDPI	2012-present	Yes	Creative Commons Attribution	NULL	NULL	BBSIBX	NULL	NULL	830988802	NULL	2079-7737	NULL
Global Business Review	1	Global Business Review	NULL	NULL	English		NULL	NULL	Business		Sage Publications	2000-present	NULL	NULL	0.26	2015	NULL	NULL	NULL	NULL	NULL	0973-0664	NULL
Acta Physiologica	1	Acta Physiologica	NULL	Acta Physiol.	NULL		NULL	NULL	Physiology	NULL	Wiley-Blackwell	1889-present			4.382	2014	APCHC4		2006243105	724078240	NULL	1748-1716	NULL
Future Oncology	1	Future Oncology	NULL	Future Oncol.	NULL			NULL	Oncology	NULL	Future Medicine Ltd	2005–present			2.131	2016	FOUNBN			66402835	NULL	1744-8301	NULL
Electronic Journal of Statistics	1	Electronic Journal of Statistics	NULL	Electron. J. Stat.	NULL		NULL	NULL	Statistics	NULL	Institute of Mathematical Statistics and the Bernoulli Society	2007–present	Yes	Creative Commons Attribution	1.024	2013	NULL	NULL	2007214848	82214859	NULL	1935-7524	NULL
Arquivos de Neuro-Psiquiatria	1	Arquivos de Neuro-Psiquiatria	NULL	Arq. Neuropsiquiatr.	NULL	Brazil		NULL	Neurology, psychiatry	NULL	Academia Brasileira de Neurologia	1943-present	Yes	Creative Commons Attribution BY-NC	0.843	2014	ANPIAM			909880068	NULL	1678-4227	NULL
Medical Microbiology and Immunology	1	Medical Microbiology and Immunology	NULL	Med. Microbiol. Immun.	NULL		NULL	NULL	Medical microbiology, immunology	NULL	Springer Science+Business Media	1886–present			3.038	2014	MMIYAO			478963984	NULL	1432-1831	NULL
Electrochemical and Solid State Letters	1	Electrochemical and Solid State Letters	NULL	Electrochem. Solid State Lett.	NULL		NULL	NULL		NULL	Electrochemical Society	1998-2012	NULL	NULL	2.321	2014	ESLEF6				NULL		NULL
Journal of American-East Asian Relations	1	Journal of American-East Asian Relations	NULL	J. Am.-East Asian Relat.	NULL	Netherlands	NULL	NULL	History of American-East Asian Relations	NULL	Brill Publishers	1992–present	NULL	NULL			NULL			472230254	NULL	1876-5610	NULL
Networks and Heterogeneous Media	1	Networks and Heterogeneous Media	NULL	Netw. Heterog. Media	NULL	United States	NULL	NULL	Mathematics	NULL	American Institute of Mathematics	2006-present			0.952	2013			2005214858	60455896	NULL	1556-181X	NULL
Solid State Ionics (journal)	1	Solid State Ionics	NULL	Solid State Ion.	NULL		NULL	NULL	Solid state ionics	NULL	Elsevier	1980-present			2.112	2013	SSIOD3		80648376	888489052	NULL	1872-7689	NULL
The Urban Lawyer	1	The Urban Lawyer	NULL	Urban Lawyer	NULL	NULL	NULL	Urb. Law.	State and local government law	NULL		1969–present	NULL	NULL	NULL	NULL	NULL	00420905	70030933	1768868	NULL	1942-6593	NULL
ECS Solid State Letters	1	ECS Solid State Letters	NULL	ECS Solid State Let.	NULL		NULL	NULL	Solid state chemistry	NULL	Electrochemical Society	2012-2015	NULL	NULL	1.162	2014	ESSLCP	NULL	2011203043	746495790	NULL	2162-8750	NULL
Journal of Applied Remote Sensing	1	Journal of Applied Remote Sensing	NULL	J. Appl. Remote Sens.	NULL		NULL	NULL	Remote sensing	NULL	SPIE	2007-present	Yes	Creative Commons Attribution 3.0 Unported License	1.107	2017				70269450	NULL		NULL
Naval Research Logistics	1	Naval Research Logistics	NULL		NULL	United States	NULL	NULL	Operations research, applied statistics, quantitative modeling	NULL	John Wiley & Sons	1954-present			0.692						NULL	1520-6750	NULL
Applied Mathematics and Mechanics (English Edition)	1	Applied Mathematics and Mechanics(English Edition)	NULL	Appl. Math. Mech. Engl. Ed.	NULL	NULL	NULL	NULL		NULL		1980–present			0.647	2012	NULL		NULL	NULL	NULL	NULL	NULL
Earth Surface Dynamics	1	Earth Surface Dynamics	NULL	Earth Surf. Dyn.	NULL		NULL	NULL	Geomorphology and related fields	NULL	Copernicus Publications on behalf of the European Geosciences Union	2013–present			2.649	2017				898492431	NULL	2196-632X	NULL
Annali dell'Istituto Superiore di Sanità	1	Annali dell'Istituto Superiore di Sanità	NULL	Ann. Ist. Super. Sanità	NULL	Italy		NULL	Health sciences	NULL	Istituto Superiore di Sanità	1965-present	Yes		0.773	2013	AISSAW		71419690	476359621	NULL		NULL
Genetics in Medicine	1	Genetics in Medicine	NULL	Genet. Med.				NULL	Medical genetics		Nature Publishing Group	1998-present			7.329	2014	GEMEF3					1530-0366	NULL
Global Public Health (journal)	1	Global Public Health	NULL	Glob. Public Health	NULL		NULL	NULL	Public health	NULL	Taylor & Francis	2006-present	NULL	NULL	1.978	2015			2006205961	64706686	NULL	1744-1706	NULL
Radio Science	1	Radio Science	NULL	Radio Sci.	NULL	United States	NULL	NULL	Radio science	NULL	Wiley-Blackwell on behalf of the American Geophysical Union and the International Union of Radio Science	1966–present			1.45	2013	RASCAD		86642786	53479878	NULL	1944-799X	NULL
Women's Studies International Forum	1	Women's Studies International Forum	NULL	Women's Stud. Int. Forum	NULL		NULL	NULL	Women's studies	NULL	Elsevier	1978–present	NULL	NULL	0.591	2015	WSINDA	NULL	82643383	7590245	NULL		NULL
Canadian Historical Review	1	Canadian Historical Review	NULL	Can. Hist. Rev.	NULL	Canada	NULL	NULL	History	NULL	University of Toronto Press	1897-present	NULL	NULL							NULL	1710-1093	NULL
Journal of Mathematical Economics	1	Journal of Mathematical Economics	NULL	J. Math. Econ.	NULL	NULL	NULL	NULL	Mathematical economics	NULL	Elsevier	1974–present		NULL	0.496	2013	JMECDA	NULL	82645478	39167313	NULL	NULL	NULL
Check List	1	Check List	NULL	Check List	NULL	Brazil	NULL	NULL	Zoology	NULL	Centro de Referência em Informação Ambiental	2005-present	Yes	Creative Commons			NULL	NULL	2010207582	768090069	NULL	1809-127X	NULL
The Pediatric Infectious Disease Journal	1	The Pediatric Infectious Disease Journal	NULL	Pediatr. Infect. Dis. J.	NULL		Pediatric Infectious Disease	NULL	Pediatrics, infectious disease	NULL	Lippincott Williams & Wilkins	1982-present			2.723	2014	PIDJEV			14710189	NULL	1532-0987	NULL
Eye (journal)	1	Eye	NULL	Eye	NULL		Transactions of the Ophthalmological Societies of the United Kingdom	NULL	Ophthalmology	NULL	Nature Publishing Group	1881-present			2.082	2014	EYEEEC			15260106	NULL	1476-5454	NULL
Evolutionary Behavioral Sciences	1	Evolutionary Behavioral Sciences	NULL		NULL	United States	NULL	NULL	Evolutionary Psychology	NULL	American Psychological Association	2007-present	NULL	NULL			NULL	NULL			NULL	2330-2933	NULL
Experimental and Applied Acarology	1	Experimental and Applied Acarology	NULL	Exp. Appl. Acarol.	NULL		NULL	NULL	Acarology	NULL	Springer Science+Business Media	1985-present	NULL	NULL	1.760	2016	EAACEM	NULL		37785917	NULL	1572-9702	NULL
Pharmacogenomics (journal)	1	Pharmacogenomics	NULL	Pharmacogenomics	NULL			NULL	Pharmacogenomics	NULL	Future Medicine Ltd	2000–present			2.350	2016	PARMFL			55059877	NULL	1744-8042	NULL
Reviews on Environmental Health	1	Reviews on Environmental Health	NULL	Rev. Environ. Health	NULL			NULL	Environmental health	NULL	Walter de Gruyter	1972-present					REVHA3		73955644	1790775	NULL	2191-0308	NULL
Dalhousie Law Journal	1	Dalhousie Law Journal	NULL	Dalhous. Law J.	NULL	Canada	NULL	NULL	Law	NULL	Schulich School of Law	1973-present	NULL	NULL	NULL	NULL	NULL	NULL	74642358	60622264	NULL	NULL	NULL
Psychology of Sexual Orientation and Gender Diversity	1	Psychology of Sexual Orientation and Gender Diversity	NULL		NULL	United States	NULL	NULL	Social Psychology	NULL	American Psychological Association	2014-present	NULL	NULL			NULL	NULL			NULL	2329-0390	NULL
Black Music Research Journal	1	Black Music Research Journal	NULL	Black Music Res. J.	NULL	United States		NULL	Musicology	NULL	University of Illinois Press	1980-present						02763605	83641760	42810536	NULL	1946-1615	NULL
Intensive Care Medicine (journal)	1	Intensive Care Medicine	NULL	Intensive Care Med.	NULL		European Journal of Intensive Care Medicine	NULL	Intensive care medicine	NULL	Springer Science+Business Media	1975–present			10.125	2015	ICMED9			884609077	NULL	1432-1238	NULL
Differentiation (journal)	1	Differentiation	NULL		NULL			NULL	Cell biology	NULL	Elsevier on behalf of the International Society of Differentiation	1973-present			2.461	2015	DFFNAW		74648484	39976028	NULL	1432-0436	NULL
Parasitology (journal)	1	Parasitology	NULL	Parasitology	NULL		NULL	NULL	Parasitology	NULL	Cambridge University Press	1908–present	Hybrid	NULL	2.350	2013	PARAAE		09023419	1714177	NULL	1469-8161	NULL
Journal of Plant Physiology	1	Journal of Plant Physiology	NULL		NULL		NULL	NULL	Plant physiology	NULL	Elsevier	1909–present	Hybrid	CC BY or CC BY-NC-ND	3.121	2016	JPPHEY		84647609	888481721	NULL		NULL
Poetics Today	1	Poetics Today	NULL	Poetics Today	NULL		NULL	NULL	Poetics	NULL	Duke University Press	1979-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6301422	NULL	1527-5507	NULL
The Journal of Mental Health Policy and Economics	1	The Journal of Mental Health Policy and Economics	NULL	J. Ment. Health Policy Econ.	NULL			NULL	Health economics	NULL	International Center of Mental Health Policy and Economics	1998-present			1.406	2013	JMHPAR		sn96004829	44093293		1099-176X	NULL
Political Analysis (journal)	1	Political Analysis	NULL	Political Anal.	NULL	United States	NULL	NULL	Political science	NULL	Oxford University Press on behalf of the American Political Science Association	1990–present		NULL	3.491	2015	NULL		90649282	710017963	NULL	1476-4989	NULL
Research in Developmental Disabilities	1	Research in Developmental Disabilities	NULL	Res. Dev. Disabil.			NULL	NULL	Child psychiatry		Elsevier	1987-present			2.735	2013	RDDIEF					1873-3379	NULL
BDJ Team	1	BDJ Team	NULL		NULL	United Kingdom	NULL	NULL	Dentistry	NULL	Nature Publishing Group on behalf of the British Dental Association	2014–present	Yes							886981854	NULL	2054-7617	NULL
Complementary Medicine Research	1	Complementary Medicine Research	NULL	Forsch. Komplementmed.	German, English		NULL	NULL	Alternative medicine		Karger Publishers	1994-present			1.053	2013						1661-4127	NULL
Zeitschrift für katholische Theologie	1	Zeitschrift für katholische Theologie	NULL	Z. kathol. Theol.	German	Austria		NULL	Roman Catholic theology	NULL	Faculty of Theology at the University of Innsbruck	1877-present						00442895	sf81001125	1774234	NULL		NULL
Journal of Zhejiang University Science A	1	Journal of Zhejiang University Science A	NULL	J. Zhejiang Univ. Sci. A	NULL	NULL	NULL	NULL	Applied physics, engineering	NULL	Zhejiang University Press and Springer Science+Business Media	2000–present		NULL	0.941	2015	JZUSBN	NULL	2007203277	60629915	NULL	1862-1775	NULL
Maturitas	1	Maturitas	NULL	Maturitas	NULL			NULL	Gynecology	NULL	Elsevier	1978-present			2.942	2014	MATUDK			16310829	NULL	1873-4111	NULL
Water Science and Technology	1	Water Science and Technology	NULL	Water Sci. Technol.	NULL		NULL	NULL	Hydrology, water resources	NULL	IWA Publishing	1969-present	NULL	NULL	1.212	2013	WSTED4	NULL	82645900	7004034	NULL	NULL	NULL
Journal of American College Health	1	Journal of American College Health	NULL	J. Am. Coll. Health	NULL		Journal of the American College Health Association	NULL	College health	NULL	Routledge on behalf of the American College Health Association	1952-present			1.656	2014				181819626	NULL	1940-3208	NULL
Primary Dental Journal	1	Primary Dental Journal	NULL	Prim. Dent. J.	NULL	United Kingdom	NULL	NULL	Dentistry	NULL	Faculty of General Dental Practice	NULL		NULL				NULL	NULL	817904464	NULL	2050-1684	NULL
Norwegian Journal of Geology	1	Norwegian Journal of Geology	NULL	Nor. J. Geol.	English, Norwegian	Norway	NULL	NULL	Geology	NULL	Norwegian Geological Society	1905	Yes	Creative Commons Attribution 4.0 International License	1.250	2013		NULL			NULL	0801-4736	NULL
Experimental & Molecular Medicine	1	Experimental & Molecular Medicine	NULL	Exp. Mol. Med.	NULL		NULL	NULL	Biochemistry, molecular biology	NULL	Nature Publishing Group	1996-present	Yes		3.446	2014	EMMEF3			38557732	NULL	2092-6413	NULL
Travail, Genre et Sociétés	1	Travail, Genre et Sociétés	NULL	Trav. Genre Soc.	English, French		NULL	NULL	Women's studies	NULL	La Découverte	1999–present	NULL	NULL				NULL	2005204770	473679947	NULL		NULL
International Archives of Occupational and Environmental Health	1	International Archives of Occupational and Environmental Health	NULL	Int. Arch. Occup. Environ. Health	English		NULL	NULL	Environmental health		Springer Science+Business Media	1930-present			2.196	2014	IAEHDW		76642762	657616541		1432-1246	NULL
The Pharmacogenomics Journal	1	The Pharmacogenomics Journal	NULL	Pharmacogenomics J.	NULL			NULL	Pharmacogenomics	NULL	Nature Publishing Group	2001-present			4.229	2014	PJHOAZ		2001243289	49965587		1473-1150	NULL
Respirology (journal)	1	Respirology	NULL	Respirology	NULL	NULL		NULL	Pulmonology	NULL	Wiley-Blackwell on behalf of the Asian Pacific Society of Respirology	1996-present			3.257	2016	69EIDG			884098098	NULL	1440-1843	NULL
Journal of Women's Health	1	Journal of Women's Health	NULL	J. Womens Health	NULL		NULL	NULL	Women's studies	NULL	Mary Ann Liebert, Inc.	1992–present	NULL	NULL	2.032	2015	JWHOAQ	NULL	2002213698	50229847	NULL	1931-843X	NULL
Iowa Heritage Illustrated	1	Iowa Heritage Illustrated	NULL	NULL	NULL	United States	NULL	NULL	Iowa history	NULL	State Historical Society of Iowa	1920–present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	as The Palimpsest	NULL	NULL
Revue Bénédictine	1	Revue Bénédictine	NULL	Rev. Bénédict.	English, French, German, Italian	Belgium	Le Messager des fidèles	NULL	Church history, church writing	NULL	Brepols on behalf of the Maredsous Abbey	1884-present							06036059	609869952	NULL	2295-9009	NULL
Journal of Ethnobiology	1	Journal of Ethnobiology	NULL	J. Ethnobiol.	NULL		NULL	NULL	Ethnobiology	NULL	Society of Ethnobiology	1981-present			0.480	2013	JOUEE9		81643251	07636827	NULL	2162-4496	NULL
Acta Neurobiologiae Experimentalis	1	Acta Neurobiologiae Experimentalis	NULL	Acta Neurobiol. Exp.	NULL	Poland	Acta Biologiae Experimentalis	NULL		NULL	Nencki Institute of Experimental Biology and the Polish Neuroscience Society	1928-present			2.244	2013	ANEXAC		71648543	888551609		1689-0035	NULL
Photography & Culture	1	Photography & Culture	NULL	Photogr. Cult.	NULL			NULL	Photography	NULL	Routledge	2008-present							2009210520	243713765	NULL	1751-4525	NULL
International Journal of Multiphase Flow	1	International Journal of Multiphase Flow	NULL	Int. J. Multiph. Flow	NULL		NULL	NULL	Fluid mechanics	NULL	Elsevier	1973–present			2.509	2016	IJMFBP		74642847	31158553	NULL		NULL
Stanford Environmental Law Journal	1	Stanford Environmental Law Journal	NULL	Stanford Environ. Law J.	NULL	NULL	NULL	Stan. Envtl. L. J.	Environmental law	NULL	Stanford University	1978-present	NULL	NULL		NULL	NULL		88648722	15244703	NULL		NULL
La Caricature (1830–1843)	1	La Caricature	NULL		French	France	NULL	NULL	Political satire			1830–1843									NULL		NULL
Journal of the American Pharmacists Association	1	Journal of the American Pharmacists Association	NULL	J. Am. Pharm. Assoc.	NULL	United States	Journal of the American Pharmaceutical Association	NULL	Pharmacy	NULL	American Pharmacists Association	1961-present			1.238	2014			2003212218	715062221	NULL	1544-3450	NULL
Turkish Journal of Urology	1	Turkish Journal of Urology	NULL	Turk. J. Urol.	NULL	Turkey	Türk Üroloji Dergisi	NULL	Urology	NULL	Turkish Association of Urology	1975-present								828116578	NULL	2149-3057	NULL
Critical Care Clinics	1	Critical Care Clinics	NULL	Crit. Care Clin.	NULL			NULL	Intensive care	NULL	Saunders	1985-present			2.495	2013	CCCLEH		85643425	11078407		1557-8232	NULL
Nineteenth-Century French Studies	1	Nineteenth-Century French Studies	NULL	Ninet.-Century Fr. Stud.	English, French		NULL	NULL	French Literature	NULL	University of Nebraska Press	1972–present	NULL	NULL	NULL	NULL	NULL	NULL	72627524	875833944	NULL	1536-0172	NULL
The Neuroradiology Journal	1	The Neuroradiology Journal	NULL	Neuroradiol. J.	NULL		NULL	NULL	Neuroradiology	NULL	Sage Publications	1994-present	NULL	NULL		2013	NULL	NULL	NULL	664157235	NULL	2385-1996	NULL
Chinese Physics C	1	Chinese Physics C	NULL	Chin. Phys. C	NULL	China	NULL	NULL	High-energy physics	NULL	IOP Publishing on behalf of the Chinese Physical Society	1977–2007 (High Energy Physics and Nuclear Physics)    2008–present (Chinese Physics C)	Hybrid	CC-BY	3.761	2015					NULL		NULL
Contemporary Women's Writing	1	Contemporary Women's Writing	NULL	Contemp. Women's Writ.	NULL	United Kingdom	NULL	NULL	Contemporary women's writing	NULL	Oxford University Press	2007-present	NULL	NULL				NULL	2008210106	214332701	NULL	1754-1484	NULL
Cognitive, Affective, & Behavioral Neuroscience	1	Cognitive, Affective, & Behavioral Neuroscience	NULL	Cogn. Affect. Behav. Neurosci.	NULL		NULL	NULL	Cognitive neuroscience	NULL	Springer Science+Business Media on behalf of the Psychonomic Society	1973-present			3.209	2013	CABNC2		00214924	44447951	NULL	1531-135X	NULL
Trajecta	1	Trajecta	NULL		Dutch, English, German	Netherlands	NULL	NULL	History of Religion in the Low Countries	NULL	vzw Trajecta	1992-present									NULL		NULL
Antarctic Science	1	Antarctic Science	NULL	Antarct Sci			NULL	NULL	Multidisciplinary			1963-present			1.417	2013	ANTSE8		89646613	52032817	NULL	1365-2079	NULL
Interface (journal)	1	Interface	NULL		NULL		NULL	NULL	Electrochemistry, Solid-state chemistry	NULL	Electrochemical Society		Yes	NULL			ELSIE3		94660502	780666054	NULL	1944-8783	NULL
Spirituality in Clinical Practice	1	Spirituality in Clinical Practice	NULL	Spiritual. Clin. Pract.	NULL	United States	NULL	NULL	Clinical psychology	NULL	American Psychological Association	2014-present	NULL	NULL			NULL	NULL	2013200516	868200383	NULL	2326-4519	NULL
Acta Ethologica	1	Acta Ethologica	NULL	Acta Ethol.	NULL		NULL	NULL	Ethology	NULL	Springer Science+Business Media	1998–present			0.804	2013				223806947	NULL	1437-9546	NULL
Molecular Pain	1	Molecular Pain	NULL	Mol. Pain	NULL		NULL	NULL	Pain	NULL	BioMed Central	2005-present	Yes	Creative Commons Attribution License 4.0	3.774	2012	MPOAC5			57465303	NULL	1744-8069	NULL
Spectroscopy Letters	1	Spectroscopy Letters	NULL	Spectrosc. Lett.	NULL		NULL	NULL	Spectroscopy	NULL	Taylor & Francis	1968-present		NULL	0.852	2014	NULL	NULL	NULL	NULL	NULL	1532-2289	NULL
European Journal of Pain	1	European Journal of Pain	NULL	Eur. J. Pain	NULL			NULL	Pain management	NULL	Wiley-Blackwell	1997-present			3.218	2013	EJPAFJ			44580241	NULL	1532-2149	NULL
Chinese Journal of Integrative Medicine	1	Chinese Journal of Integrative Medicine	NULL	Chin. J. Integr. Med.				NULL	Alternative medicine		Springer Science+Business Media	1995-present			1.217	2014						1993-0402	NULL
Autism Research	1	Autism Research	NULL	Autism Res.	NULL			NULL	Child psychiatry	NULL	Wiley-Blackwell	2008-present			4.532	2013			2007216027	159959578	NULL	1939-3806	NULL
